stem,category,package,launcher_activity,apk_path,dynamic_graph_path,dynamic_log_path,status,call_lines,unique_edges,events,throttle_ms,attempts_for_stem,started_at,finished_at,selection_rule
1VPN_v2.0.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/1VPN_v2.0.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
4K Wallpapers_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/4K Wallpapers_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
88 Shopee Live Fashion Week_3.54.23_APKPure,shopping,com.shopee.my,com.shopee.app.ui.home.HomeActivity_,/local/APKPURE_DYNAMIC_ANALYSIS/ARTIFACTS/APKPURE_APKS/shopping/88 Shopee Live Fashion Week_3.54.23_APKPure.xapk,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/88 Shopee Live Fashion Week_3.54.23_APKPure_dynamic_callgraph.txt,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/logs/88 Shopee Live Fashion Week_3.54.23_APKPure.log,ok,206942,13561,5000,0,6,2026-04-11T14:41:42,2026-04-11T15:16:29,"status(ok>skipped_existing>error), unique_edges desc, call_lines desc, latest finished_at"
ABC NEWS_2025.07.10895_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/ABC NEWS_2025.07.10895_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AI Diary - Diary with Gen AI_5.00.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AI Diary - Diary with Gen AI_5.00.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AI GPS Navigation  Maps_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AI GPS Navigation  Maps_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AI Interior_1.0.19_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AI Interior_1.0.19_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AI NoteBook  Memos - Tryty_1.0.7_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AI NoteBook  Memos - Tryty_1.0.7_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AI Voice Changer_1.0.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AI Voice Changer_1.0.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
ASES 365_4.0.3_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/ASES 365_4.0.3_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
ATON Line_3.4.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/ATON Line_3.4.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AURA VINDEX_4.3.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AURA VINDEX_4.3.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Academia JC_2.0.812_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Academia JC_2.0.812_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Activate Locate_1.3.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Activate Locate_1.3.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Afore SURA_3.0.62_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Afore SURA_3.0.62_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Ai Khodijah Sholawat 2025_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Ai Khodijah Sholawat 2025_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Akal ELD for CMV_6.4.5.0_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Akal ELD for CMV_6.4.5.0_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AlamAldrama_3.20.51_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AlamAldrama_3.20.51_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
AlfredCamera_2025.14.1_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/AlfredCamera_2025.14.1_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
All Countries_2.0.2.6_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/All Countries_2.0.2.6_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
Alpha_1.4.8_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/Alpha_1.4.8_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
American Airlines_2025.23_APKPure,,,,,/local-storage/RESEARCH/APKPURE_ANALYSIS/APKPURE_DYNAMIC_ANALYSIS/RESULT/graphs/American Airlines_2025.23_APKPure_dynamic_callgraph.txt,,graph_only,,,,,0,,,graph present in graph-corpus stem list but no matching row in summary_dynamic.csv
