tool,proxy,bucket,signature,all_tags
ANDROGUARD,privacy,device_and_subscriber_ids,"<android.accounts.Account: void <init>(java.lang.String,java.lang.String)>",accounts
ANDROGUARD,privacy,device_and_subscriber_ids,<android.telephony.CellIdentity: java.lang.CharSequence getOperatorAlphaShort()>,telephony
ANDROGUARD,privacy,device_and_subscriber_ids,"<android.telephony.TelephonyManager: void listen(android.telephony.PhoneStateListener,int)>",telephony
ANDROGUARD,privacy,device_and_subscriber_ids,<android.telephony.SubscriptionManager: android.telephony.SubscriptionManager 'from'(android.content.Context)>,telephony
ANDROGUARD,privacy,device_and_subscriber_ids,"<android.telephony.TelephonyManager: void registerTelephonyCallback(java.util.concurrent.Executor,android.telephony.TelephonyCallback)>",telephony
ANDROGUARD,privacy,device_and_subscriber_ids,"<android.accounts.AccountManager: void addOnAccountsUpdatedListener(android.accounts.OnAccountsUpdateListener,android.os.Handler,boolean,java.lang.String[])>",accounts
ANDROGUARD,privacy,location_and_sensors,"<android.media.AudioRecord: void <init>(int,int,int,int,int)>",microphone
ANDROGUARD,privacy,location_and_sensors,"<android.media.AudioRecord: int getMinBufferSize(int,int,int)>",microphone
ANDROGUARD,privacy,location_and_sensors,"<android.hardware.Camera$Parameters: void setPreviewSize(int,int)>",camera
ANDROGUARD,privacy,location_and_sensors,"<android.hardware.Camera: void getCameraInfo(int,android.hardware.Camera$CameraInfo)>",camera
ANDROGUARD,privacy,location_and_sensors,"<android.location.Location: void distanceBetween(double,double,double,double,float[])>",location
ANDROGUARD,privacy,location_and_sensors,"<android.hardware.camera2.params.MeteringRectangle: void <init>(android.graphics.Rect,int)>",camera
ANDROGUARD,privacy,location_and_sensors,"<android.location.LocationManager: boolean addNmeaListener(android.location.OnNmeaMessageListener,android.os.Handler)>",location
ANDROGUARD,privacy,location_and_sensors,"<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>",location|sensitive_api
ANDROGUARD,privacy,location_and_sensors,"<android.location.LocationManager: boolean registerGnssStatusCallback(android.location.GnssStatus$Callback,android.os.Handler)>",location
ANDROGUARD,privacy,location_and_sensors,"<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.location.LocationListener,android.os.Looper)>",location
ANDROGUARD,privacy,location_and_sensors,"<android.hardware.camera2.CameraManager: void registerAvailabilityCallback(android.hardware.camera2.CameraManager$AvailabilityCallback,android.os.Handler)>",camera
ANDROGUARD,privacy,location_and_sensors,"<android.hardware.camera2.CameraManager: void registerAvailabilityCallback(java.util.concurrent.Executor,android.hardware.camera2.CameraManager$AvailabilityCallback)>",camera
ANDROGUARD,privacy,web_and_exfil_primitives,"<android.webkit.WebView: void onMeasure(int,int)>",callback|webview
ANDROGUARD,privacy,web_and_exfil_primitives,"<android.webkit.WebView: void onSizeChanged(int,int,int,int)>",callback|webview
ANDROGUARD,privacy,web_and_exfil_primitives,"<android.webkit.WebView: void onScrollChanged(int,int,int,int)>",callback|webview
