tool,method_name,missed_in_apps,apps_considered
FLOWDROID,getDeviceId,86,115
FLOWDROID,sendTextMessage,44,115
FLOWDROID,inflate,13,115
FLOWDROID,commit,9,115
FLOWDROID,getSystemService,9,115
FLOWDROID,equals,8,115
FLOWDROID,getText,8,115
FLOWDROID,toString,8,115
FLOWDROID,getStringExtra,8,115
FLOWDROID,add,7,115
FLOWDROID,beginTransaction,7,115
FLOWDROID,dispatchCreate,6,115
FLOWDROID,attachActivity,6,115
FLOWDROID,getLastNonConfigurationInstance,6,115
FLOWDROID,recycle,6,115
FLOWDROID,setFactory,6,115
FLOWDROID,getFactory,6,115
FLOWDROID,getLayoutInflater,6,115
FLOWDROID,moveToState,6,115
FLOWDROID,getLongitude,6,115
FLOWDROID,requestLocationUpdates,6,115
FLOWDROID,show,6,115
FLOWDROID,setCallback,5,115
FLOWDROID,addOp,5,115
FLOWDROID,getBoolean,5,115
FLOWDROID,getComponentName,5,115
FLOWDROID,onWindowAttributesChanged,5,115
FLOWDROID,getActivityInfo,5,115
FLOWDROID,getUiOptionsFromMetadata,5,115
FLOWDROID,onContentChanged,5,115
FLOWDROID,requestWindowFeature,5,115
FLOWDROID,getCallback,5,115
FLOWDROID,onSupportContentChanged,5,115
FLOWDROID,checkStateLoss,5,115
FLOWDROID,size,5,115
FLOWDROID,createWindowCallbackWrapper,5,115
FLOWDROID,post,5,115
FLOWDROID,removeCallbacks,5,115
FLOWDROID,getWindow,5,115
FLOWDROID,createDelegate,5,115
FLOWDROID,getPackageManager,5,115
FLOWDROID,commitInternal,5,115
FLOWDROID,superSetContentView,5,115
FLOWDROID,obtainStyledAttributes,5,115
FLOWDROID,doAddOp,5,115
FLOWDROID,enqueueAction,5,115
FLOWDROID,getParentActivityName,5,115
FLOWDROID,hasValue,5,115
FLOWDROID,getLatitude,5,115
FLOWDROID,setOnClickListener,5,115
FLOWDROID,writeToParcel,4,115
FLOWDROID,close,4,115
FLOWDROID,contains,4,115
FLOWDROID,next,4,115
FLOWDROID,getString,4,115
FLOWDROID,getInt,4,115
FLOWDROID,getSimSerialNumber,4,115
FLOWDROID,putString,4,115
FLOWDROID,newInstance,4,115
FLOWDROID,toCharArray,3,115
FLOWDROID,performCreateOptionsMenu,3,115
FLOWDROID,getActionBar,3,115
FLOWDROID,getLoaderManager,3,115
FLOWDROID,setIcon,3,115
FLOWDROID,performResume,3,115
FLOWDROID,dispatchStart,3,115
FLOWDROID,addFragment,3,115
FLOWDROID,addItem,3,115
FLOWDROID,onCreateAnimation,3,115
FLOWDROID,onDetachedFromWindow,3,115
FLOWDROID,myLooper,3,115
FLOWDROID,setAlphabeticShortcut,3,115
FLOWDROID,getThemedContext,3,115
FLOWDROID,saveAllState,3,115
FLOWDROID,onResume,3,115
FLOWDROID,onDetach,3,115
FLOWDROID,writeTypedArray,3,115
FLOWDROID,dispatchTouchEvent,3,115
FLOWDROID,hasAddedItem,3,115
FLOWDROID,putParcelable,3,115
FLOWDROID,onPause,3,115
FLOWDROID,removeMessages,3,115
FLOWDROID,access$000,3,115
FLOWDROID,dispatchFreezeSelfOnly,3,115
FLOWDROID,setEnabled,3,115
FLOWDROID,onActivityCreated,3,115
FLOWDROID,valueOf,3,115
FLOWDROID,readItem,3,115
FLOWDROID,onViewCreated,3,115
FLOWDROID,performCreate,3,115
FLOWDROID,append,3,115
FLOWDROID,parseMenu,3,115
FLOWDROID,onAttachFragment,3,115
FLOWDROID,onStart,3,115
FLOWDROID,getResourceId,3,115
FLOWDROID,dispatchActivityCreated,3,115
FLOWDROID,onPanelClosed,3,115
FLOWDROID,setTitleCondensed,3,115
FLOWDROID,performCreateView,3,115
FLOWDROID,getSupportActionBar,3,115
FLOWDROID,getLayoutParams,3,115
FLOWDROID,onPreparePanel,3,115
FLOWDROID,wrap,3,115
FLOWDROID,dispatchSaveInstanceState,3,115
FLOWDROID,onMenuOpened,3,115
FLOWDROID,performActivityCreated,3,115
FLOWDROID,onResumeFragments,3,115
FLOWDROID,executePendingTransactions,3,115
FLOWDROID,makeInactive,3,115
FLOWDROID,setShowAsAction,3,115
FLOWDROID,getEventType,3,115
FLOWDROID,popBackStackImmediate,3,115
FLOWDROID,performDestroy,3,115
FLOWDROID,noteStateNotSaved,3,115
FLOWDROID,dispatchResume,3,115
FLOWDROID,getClass,3,115
FLOWDROID,performSaveInstanceState,3,115
FLOWDROID,access$100,3,115
FLOWDROID,onViewStateRestored,3,115
FLOWDROID,execPendingActions,3,115
FLOWDROID,doReallyStop,3,115
FLOWDROID,performPendingDeferredStart,3,115
FLOWDROID,put,3,115
FLOWDROID,clear,3,115
FLOWDROID,getResources,3,115
FLOWDROID,dispatchStop,3,115
FLOWDROID,addView,3,115
FLOWDROID,restoreViewState,3,115
FLOWDROID,onTitleChanged,3,115
FLOWDROID,getLayout,3,115
FLOWDROID,invalidateSupportFragment,3,115
FLOWDROID,onPostResume,3,115
FLOWDROID,performStart,3,115
FLOWDROID,popBackStackState,3,115
FLOWDROID,setLayoutParams,3,115
FLOWDROID,performPause,3,115
FLOWDROID,isEmpty,3,115
FLOWDROID,toArray,3,115
FLOWDROID,setItem,3,115
FLOWDROID,getActionBarThemedContext,3,115
FLOWDROID,onDestroy,3,115
FLOWDROID,getShortcut,3,115
FLOWDROID,writeIntArray,3,115
FLOWDROID,createMenuWrapper,3,115
FLOWDROID,dispatchPause,3,115
FLOWDROID,set,3,115
FLOWDROID,dispatchPrepareOptionsMenu,3,115
FLOWDROID,performReallyStop,3,115
FLOWDROID,superOnPreparePanel,3,115
FLOWDROID,setChecked,3,115
FLOWDROID,dispatchReallyStop,3,115
FLOWDROID,dispatchTrackballEvent,3,115
FLOWDROID,onWindowFocusChanged,3,115
FLOWDROID,writeString,3,115
FLOWDROID,removeView,3,115
FLOWDROID,onKeyDown,3,115
FLOWDROID,createSupportActionBar,3,115
FLOWDROID,onDestroyView,3,115
FLOWDROID,isVisible,3,115
FLOWDROID,isFinishing,3,115
FLOWDROID,onSaveInstanceState,3,115
FLOWDROID,initState,3,115
FLOWDROID,resetGroup,3,115
FLOWDROID,loadAnimation,3,115
FLOWDROID,hasMessages,3,115
FLOWDROID,startPendingDeferredFragments,3,115
FLOWDROID,onCreatePanelView,3,115
FLOWDROID,finish,3,115
