category,benchmark,tool,caller_class,caller_method,callee_receiver,callee_method
Aliasing,Merge1,FlowDroid,android.support.v4.app.BackStackRecord,add,android.support.v4.app.BackStackRecord,doAddOp
Aliasing,Merge1,FlowDroid,android.support.v4.app.BackStackRecord,commit,android.support.v4.app.BackStackRecord,commitInternal
Aliasing,Merge1,FlowDroid,android.support.v4.app.BackStackRecord,commitInternal,android.support.v4.app.FragmentManagerImpl,enqueueAction
Aliasing,Merge1,FlowDroid,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord,addOp
Aliasing,Merge1,FlowDroid,android.support.v4.app.BackStackRecord,doAddOp,android.support.v4.app.BackStackRecord$Op,<init>
Aliasing,Merge1,FlowDroid,android.support.v4.app.Fragment,<clinit>,android.support.v4.util.SimpleArrayMap,<init>
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLastNonConfigurationInstance
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.app.Activity,getLayoutInflater
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,attachActivity
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.support.v4.app.FragmentManagerImpl,dispatchCreate
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,getFactory
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreate,android.view.LayoutInflater,setFactory
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreateView,android.app.Activity,onCreateView
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentActivity,onCreateView,java.lang.String,equals
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,beginTransaction,android.support.v4.app.BackStackRecord,<init>
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,dispatchCreate,android.support.v4.app.FragmentManagerImpl,moveToState
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,post
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.os.Handler,removeCallbacks
Aliasing,Merge1,FlowDroid,android.support.v4.app.FragmentManagerImpl,enqueueAction,android.support.v4.app.FragmentManagerImpl,checkStateLoss
