category,benchmark,tool,source_edge_count,static_edge_count,covered_count,missed_count,coverage,tool_output_present
Aliasing,Merge1,Androguard,66,7744,66,0,1.0,yes
Aliasing,Merge1,FlowDroid,66,26,10,56,0.151515,yes
Aliasing,Merge1,GATOR,66,9116,60,6,0.909091,yes
Aliasing,Merge1,MAMADROID,66,25,10,56,0.151515,yes
Aliasing,Merge1,NATIDROID,66,11607,60,6,0.909091,yes
AndroidSpecific,ApplicationModeling1,Androguard,7,8,7,0,1.0,yes
AndroidSpecific,ApplicationModeling1,FlowDroid,7,14,6,1,0.857143,yes
AndroidSpecific,ApplicationModeling1,GATOR,7,17,7,0,1.0,yes
AndroidSpecific,ApplicationModeling1,MAMADROID,7,12,6,1,0.857143,yes
AndroidSpecific,ApplicationModeling1,NATIDROID,7,2315,7,0,1.0,yes
AndroidSpecific,DirectLeak1,Androguard,7,2343,7,0,1.0,yes
AndroidSpecific,DirectLeak1,FlowDroid,7,10,5,2,0.714286,yes
AndroidSpecific,DirectLeak1,GATOR,7,2982,7,0,1.0,yes
AndroidSpecific,DirectLeak1,MAMADROID,7,9,5,2,0.714286,yes
AndroidSpecific,DirectLeak1,NATIDROID,7,5286,7,0,1.0,yes
AndroidSpecific,InactiveActivity,Androguard,0,2342,0,0,,yes
AndroidSpecific,InactiveActivity,FlowDroid,0,,,,,no
AndroidSpecific,InactiveActivity,GATOR,0,2980,0,0,,yes
AndroidSpecific,InactiveActivity,MAMADROID,0,,,,,no
AndroidSpecific,InactiveActivity,NATIDROID,0,5280,0,0,,yes
AndroidSpecific,Library2,Androguard,9,2730,9,0,1.0,yes
AndroidSpecific,Library2,FlowDroid,9,16,7,2,0.777778,yes
AndroidSpecific,Library2,GATOR,9,3482,9,0,1.0,yes
AndroidSpecific,Library2,MAMADROID,9,15,7,2,0.777778,yes
AndroidSpecific,Library2,NATIDROID,9,5756,9,0,1.0,yes
AndroidSpecific,LogNoLeak,Androguard,4,2340,4,0,1.0,yes
AndroidSpecific,LogNoLeak,FlowDroid,4,10,4,0,1.0,yes
AndroidSpecific,LogNoLeak,GATOR,4,2977,4,0,1.0,yes
AndroidSpecific,LogNoLeak,MAMADROID,4,9,4,0,1.0,yes
AndroidSpecific,LogNoLeak,NATIDROID,4,5224,4,0,1.0,yes
AndroidSpecific,Obfuscation1,Androguard,7,2728,7,0,1.0,yes
AndroidSpecific,Obfuscation1,FlowDroid,7,12,5,2,0.714286,yes
AndroidSpecific,Obfuscation1,GATOR,7,3480,7,0,1.0,yes
AndroidSpecific,Obfuscation1,MAMADROID,7,11,5,2,0.714286,yes
AndroidSpecific,Obfuscation1,NATIDROID,7,5701,7,0,1.0,yes
AndroidSpecific,Parcel1,Androguard,23,25,23,0,1.0,yes
AndroidSpecific,Parcel1,FlowDroid,23,19,10,13,0.434783,yes
AndroidSpecific,Parcel1,GATOR,23,44,23,0,1.0,yes
AndroidSpecific,Parcel1,MAMADROID,23,18,10,13,0.434783,yes
AndroidSpecific,Parcel1,NATIDROID,23,2330,23,0,1.0,yes
AndroidSpecific,PrivateDataLeak1,Androguard,20,2357,20,0,1.0,yes
AndroidSpecific,PrivateDataLeak1,FlowDroid,20,30,16,4,0.8,yes
AndroidSpecific,PrivateDataLeak1,GATOR,20,2998,20,0,1.0,yes
AndroidSpecific,PrivateDataLeak1,MAMADROID,20,27,16,4,0.8,yes
AndroidSpecific,PrivateDataLeak1,NATIDROID,20,5249,20,0,1.0,yes
AndroidSpecific,PrivateDataLeak2,Androguard,7,2343,7,0,1.0,yes
AndroidSpecific,PrivateDataLeak2,FlowDroid,7,10,5,2,0.714286,yes
AndroidSpecific,PrivateDataLeak2,GATOR,7,2978,6,1,0.857143,yes
AndroidSpecific,PrivateDataLeak2,MAMADROID,7,9,5,2,0.714286,yes
AndroidSpecific,PrivateDataLeak2,NATIDROID,7,5228,6,1,0.857143,yes
AndroidSpecific,PrivateDataLeak3,Androguard,17,2737,17,0,1.0,yes
AndroidSpecific,PrivateDataLeak3,FlowDroid,17,22,11,6,0.647059,yes
AndroidSpecific,PrivateDataLeak3,GATOR,17,3495,17,0,1.0,yes
AndroidSpecific,PrivateDataLeak3,MAMADROID,17,21,11,6,0.647059,yes
AndroidSpecific,PrivateDataLeak3,NATIDROID,17,5766,17,0,1.0,yes
AndroidSpecific,PublicAPIField1,Androguard,6,12,6,0,1.0,yes
