tool,signature,apps_as_dynamic_entry,class_name,method_name,primary_tag,all_tags,non_library,nonobf_strict
ANDROGUARD,"<com.google.firebase.provider.FirebaseInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",261,com.google.firebase.provider.FirebaseInitProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",168,androidx.core.content.FileProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: android.view.View onCreateView(android.view.View,java.lang.String,android.content.Context,android.util.AttributeSet)>",133,androidx.fragment.app.FragmentActivity,onCreateView,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: android.view.View onCreateView(java.lang.String,android.content.Context,android.util.AttributeSet)>",133,androidx.fragment.app.FragmentActivity,onCreateView,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.appcompat.app.AppCompatActivity: void onTitleChanged(java.lang.CharSequence,int)>",116,androidx.appcompat.app.AppCompatActivity,onTitleChanged,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.activity.ComponentActivity: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",105,androidx.activity.ComponentActivity,onPreparePanel,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.activity.ComponentActivity: boolean onCreatePanelMenu(int,android.view.Menu)>",104,androidx.activity.ComponentActivity,onCreatePanelMenu,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.ads.MobileAdsInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",100,com.google.android.gms.ads.MobileAdsInitProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.appcompat.app.AppCompatActivity: boolean onMenuOpened(int,android.view.Menu)>",90,androidx.appcompat.app.AppCompatActivity,onMenuOpened,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.appcompat.app.AppCompatActivity: boolean onKeyDown(int,android.view.KeyEvent)>",83,androidx.appcompat.app.AppCompatActivity,onKeyDown,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.core.provider.FontProvider$ContentQueryWrapperApi24Impl: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>",74,androidx.core.provider.FontProvider$ContentQueryWrapperApi24Impl,query,sensitive_api,entrypoint|sensitive_api,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.FlutterJNI: void handlePlatformMessage(java.lang.String,java.nio.ByteBuffer,int,long)>",61,io.flutter.embedding.engine.FlutterJNI,handlePlatformMessage,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<io.flutter.embedding.engine.FlutterJNI: void handlePlatformMessageResponse(int,java.nio.ByteBuffer)>",61,io.flutter.embedding.engine.FlutterJNI,handlePlatformMessageResponse,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<com.google.firebase.crashlytics.internal.analytics.BreadcrumbAnalyticsEventReceiver: void onEvent(java.lang.String,android.os.Bundle)>",49,com.google.firebase.crashlytics.internal.analytics.BreadcrumbAnalyticsEventReceiver,onEvent,callback,callback|entrypoint,no,yes
ANDROGUARD,<okio.'-SegmentedByteString': void <clinit>()>,43,okio.'-SegmentedByteString',<clinit>,network,network,no,no
ANDROGUARD,"<okio.InputStreamSource: long read(okio.Buffer,long)>",43,okio.InputStreamSource,read,network,network,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityCreated(com.google.android.gms.dynamic.IObjectWrapper,android.os.Bundle,long)>",41,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityCreated,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityPaused(com.google.android.gms.dynamic.IObjectWrapper,long)>",39,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityPaused,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityResumed(com.google.android.gms.dynamic.IObjectWrapper,long)>",39,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityResumed,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityStarted(com.google.android.gms.dynamic.IObjectWrapper,long)>",39,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityStarted,callback,callback|entrypoint,no,yes
ANDROGUARD,"<io.sentry.android.core.SentryPerformanceProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",39,io.sentry.android.core.SentryPerformanceProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<okio.Buffer: long read(okio.Buffer,long)>",39,okio.Buffer,read,network,network,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityStopped(com.google.android.gms.dynamic.IObjectWrapper,long)>",37,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityStopped,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.mlkit.common.internal.MlKitInitProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",36,com.google.mlkit.common.internal.MlKitInitProvider,attachInfo,callback,callback|entrypoint,no,yes
ANDROGUARD,"<com.google.firebase.messaging.SyncTask$ConnectivityChangeReceiver: void onReceive(android.content.Context,android.content.Intent)>",34,com.google.firebase.messaging.SyncTask$ConnectivityChangeReceiver,onReceive,callback,callback|entrypoint,no,yes
ANDROGUARD,"<okhttp3.internal.platform.Android10Platform: void configureTlsExtensions(javax.net.ssl.SSLSocket,java.lang.String,java.util.List)>",34,okhttp3.internal.platform.Android10Platform,configureTlsExtensions,network,network|sensitive_api,no,yes
ANDROGUARD,"<okhttp3.internal.tls.OkHostnameVerifier: boolean verify(java.lang.String,javax.net.ssl.SSLSession)>",34,okhttp3.internal.tls.OkHostnameVerifier,verify,network,network|sensitive_api,no,yes
ANDROGUARD,"<okio.RealBufferedSource$inputStream$1: int read(byte[],int,int)>",34,okio.RealBufferedSource$inputStream$1,read,network,network,no,yes
ANDROGUARD,"<com.google.android.gms.measurement.internal.AppMeasurementDynamiteService: void onActivityDestroyed(com.google.android.gms.dynamic.IObjectWrapper,long)>",33,com.google.android.gms.measurement.internal.AppMeasurementDynamiteService,onActivityDestroyed,callback,callback|entrypoint,no,yes
ANDROGUARD,"<okio.OutputStreamSink: void write(okio.Buffer,long)>",33,okio.OutputStreamSink,write,network,network,no,yes
ANDROGUARD,<okio.RealBufferedSource: void close()>,33,okio.RealBufferedSource,close,network,network,no,yes
ANDROGUARD,"<okhttp3.CipherSuite$Companion$ORDER_BY_NAME$1: int compare(java.lang.Object,java.lang.Object)>",30,okhttp3.CipherSuite$Companion$ORDER_BY_NAME$1,compare,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void headers(boolean,int,int,java.util.List)>",30,okhttp3.internal.http2.Http2Connection$ReaderRunnable,headers,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void settings(boolean,okhttp3.internal.http2.Settings)>",30,okhttp3.internal.http2.Http2Connection$ReaderRunnable,settings,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void windowUpdate(int,long)>",29,okhttp3.internal.http2.Http2Connection$ReaderRunnable,windowUpdate,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.platform.android.Android10SocketAdapter: void configureTlsExtensions(javax.net.ssl.SSLSocket,java.lang.String,java.util.List)>",29,okhttp3.internal.platform.android.Android10SocketAdapter,configureTlsExtensions,network,network|sensitive_api,no,yes
ANDROGUARD,"<okhttp3.internal.connection.RealConnection: void onSettings(okhttp3.internal.http2.Http2Connection,okhttp3.internal.http2.Settings)>",28,okhttp3.internal.connection.RealConnection,onSettings,network,network,no,yes
ANDROGUARD,"<okio.AsyncTimeout$sink$1: void write(okio.Buffer,long)>",28,okio.AsyncTimeout$sink$1,write,network,network,no,yes
ANDROGUARD,"<okio.RealBufferedSource: long read(okio.Buffer,long)>",28,okio.RealBufferedSource,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.connection.Exchange$ResponseBodySource: long read(okio.Buffer,long)>",27,okhttp3.internal.connection.Exchange$ResponseBodySource,read,network,network,no,yes
ANDROGUARD,"<okio.AsyncTimeout$source$1: long read(okio.Buffer,long)>",27,okio.AsyncTimeout$source$1,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.concurrent.TaskRunner$RealBackend: void coordinatorWait(okhttp3.internal.concurrent.TaskRunner,long)>",26,okhttp3.internal.concurrent.TaskRunner$RealBackend,coordinatorWait,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Reader$ContinuationSource: long read(okio.Buffer,long)>",26,okhttp3.internal.http2.Http2Reader$ContinuationSource,read,network,network,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Stream$FramingSource: long read(okio.Buffer,long)>",26,okhttp3.internal.http2.Http2Stream$FramingSource,read,network,network,no,yes
ANDROGUARD,"<io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$AnimationCallback: android.view.WindowInsets onProgress(android.view.WindowInsets,java.util.List)>",25,io.flutter.plugin.editing.ImeSyncDeferringInsetsCallback$AnimationCallback,onProgress,sdk_mediated,sdk_mediated,no,yes
ANDROGUARD,"<okhttp3.internal.http2.Http2Connection$ReaderRunnable: void data(boolean,int,okio.BufferedSource,int)>",25,okhttp3.internal.http2.Http2Connection$ReaderRunnable,data,network,network,no,yes
ANDROGUARD,"<okio.RealBufferedSink: void write(okio.Buffer,long)>",25,okio.RealBufferedSink,write,network,network,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: boolean onCreatePanelMenu(int,android.view.Menu)>",24,androidx.fragment.app.FragmentActivity,onCreatePanelMenu,callback,callback|entrypoint,no,yes
ANDROGUARD,"<androidx.fragment.app.FragmentActivity: boolean onPreparePanel(int,android.view.View,android.view.Menu)>",24,androidx.fragment.app.FragmentActivity,onPreparePanel,callback,callback|entrypoint,no,yes
