tool,signature,class_name,method_name,primary_tag,all_tags
ANDROGUARD,"<A.b: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",A.b,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<A2.N: void onReceive(android.content.Context,android.content.Intent)>",A2.N,onReceive,entrypoint,entrypoint
ANDROGUARD,"<A3.Q: void onReceive(android.content.Context,android.content.Intent)>",A3.Q,onReceive,entrypoint,entrypoint
ANDROGUARD,"<B.g: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",B.g,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<B.k: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",B.k,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<B0.i: void onReceive(android.content.Context,android.content.Intent)>",B0.i,onReceive,entrypoint,entrypoint
ANDROGUARD,"<B4.m: boolean verify(java.lang.String,javax.net.ssl.SSLSession)>",B4.m,verify,sensitive_api,sensitive_api
ANDROGUARD,"<C7.c: boolean onActivityResult(int,int,android.content.Intent)>",C7.c,onActivityResult,entrypoint,entrypoint
ANDROGUARD,"<D.i: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",D.i,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<D1.g: L1.k requestLocationUpdates(com.google.android.gms.location.LocationRequest,G1.k,android.os.Looper)>",D1.g,requestLocationUpdates,sensitive_api,sensitive_api
ANDROGUARD,"<Dc.c: boolean verify(java.lang.String,javax.net.ssl.SSLSession)>",Dc.c,verify,sensitive_api,sensitive_api
ANDROGUARD,"<E0.c: void onReceive(android.content.Context,android.content.Intent)>",E0.c,onReceive,entrypoint,entrypoint
ANDROGUARD,"<E0.i1: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",E0.i1,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<F3.c: void delete(java.lang.String,java.lang.String,java.lang.String[])>",F3.c,delete,entrypoint,entrypoint|sensitive_api
ANDROGUARD,"<F3.c: void query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String,H5.l)>",F3.c,query,entrypoint,entrypoint|sensitive_api
ANDROGUARD,"<G3.c: boolean verify(java.lang.String,javax.net.ssl.SSLSession)>",G3.c,verify,sensitive_api,sensitive_api
ANDROGUARD,"<G3.c: void delete(java.lang.String,java.lang.String,java.lang.String[])>",G3.c,delete,entrypoint,entrypoint|sensitive_api
ANDROGUARD,"<G3.c: void query(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String,H5.l)>",G3.c,query,entrypoint,entrypoint|sensitive_api
ANDROGUARD,"<H.f: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",H.f,attachInfo,entrypoint,entrypoint
ANDROGUARD,"<H1.Q: void onReceive(android.content.Context,android.content.Intent)>",H1.Q,onReceive,entrypoint,entrypoint
ANDROGUARD,"<H2.g: void onReceive(android.content.Context,android.content.Intent)>",H2.g,onReceive,entrypoint,entrypoint
ANDROGUARD,"<I4.g: void onReceive(android.content.Context,android.content.Intent)>",I4.g,onReceive,entrypoint,entrypoint
ANDROGUARD,"<J0.j$a: void onReceive(android.content.Context,android.content.Intent)>",J0.j$a,onReceive,entrypoint,entrypoint
