proxy,tool,group,tags,dynamic_count,hit_count,missed_count,coverage_pct
privacy,ANDROGUARD,sources_identity,telephony|accounts,86,80,6,93.02
privacy,ANDROGUARD,sources_sensors,location|camera|microphone,127,108,19,85.04
privacy,ANDROGUARD,storage_ipc,content_provider|content_resolver|ipc,322,186,136,57.76
privacy,ANDROGUARD,web_and_exfil,webview|network|tls,9251,6693,2558,72.35
privacy,ANDROGUARD,crypto,crypto,157,111,46,70.7
privacy,ANDROGUARD,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,9943,7178,2765,72.19
privacy,FLOWDROID,sources_identity,telephony|accounts,86,9,77,10.47
privacy,FLOWDROID,sources_sensors,location|camera|microphone,127,49,78,38.58
privacy,FLOWDROID,storage_ipc,content_provider|content_resolver|ipc,322,203,119,63.04
privacy,FLOWDROID,web_and_exfil,webview|network|tls,9251,3928,5323,42.46
privacy,FLOWDROID,crypto,crypto,157,71,86,45.22
privacy,FLOWDROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,9943,4260,5683,42.84
privacy,MAMADROID,sources_identity,telephony|accounts,86,8,78,9.3
privacy,MAMADROID,sources_sensors,location|camera|microphone,127,49,78,38.58
privacy,MAMADROID,storage_ipc,content_provider|content_resolver|ipc,322,214,108,66.46
privacy,MAMADROID,web_and_exfil,webview|network|tls,9251,3887,5364,42.02
privacy,MAMADROID,crypto,crypto,157,70,87,44.59
privacy,MAMADROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,9943,4228,5715,42.52
privacy,NATIDROID,sources_identity,telephony|accounts,86,80,6,93.02
privacy,NATIDROID,sources_sensors,location|camera|microphone,127,116,11,91.34
privacy,NATIDROID,storage_ipc,content_provider|content_resolver|ipc,322,237,85,73.6
privacy,NATIDROID,web_and_exfil,webview|network|tls,9251,3806,5445,41.14
privacy,NATIDROID,crypto,crypto,157,127,30,80.89
privacy,NATIDROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,9943,4366,5577,43.91
privacy,GATOR,sources_identity,telephony|accounts,86,64,22,74.42
privacy,GATOR,sources_sensors,location|camera|microphone,127,115,12,90.55
privacy,GATOR,storage_ipc,content_provider|content_resolver|ipc,322,225,97,69.88
privacy,GATOR,web_and_exfil,webview|network|tls,9251,7804,1447,84.36
privacy,GATOR,crypto,crypto,157,141,16,89.81
privacy,GATOR,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,9943,8349,1594,83.97
malware_evasion,ANDROGUARD,evasion_primitives,reflection|dynamic_loading,181,144,37,79.56
malware_evasion,ANDROGUARD,dispatch_and_icc,ipc,280,171,109,61.07
malware_evasion,ANDROGUARD,hidden_entrypoints,entrypoint|callback,9340,7776,1564,83.25
malware_evasion,ANDROGUARD,sdk_mediated,sdk_mediated,31895,22616,9279,70.91
malware_evasion,ANDROGUARD,network_and_tls,network|tls,8876,6461,2415,72.79
malware_evasion,ANDROGUARD,ALL,reflection|dynamic_loading|ipc|entrypoint|callback|sdk_mediated|network|tls,50255,36909,13346,73.44
malware_evasion,FLOWDROID,evasion_primitives,reflection|dynamic_loading,181,90,91,49.72
malware_evasion,FLOWDROID,dispatch_and_icc,ipc,280,180,100,64.29
malware_evasion,FLOWDROID,hidden_entrypoints,entrypoint|callback,9340,3390,5950,36.3
malware_evasion,FLOWDROID,sdk_mediated,sdk_mediated,31895,9455,22440,29.64
malware_evasion,FLOWDROID,network_and_tls,network|tls,8876,3784,5092,42.63
malware_evasion,FLOWDROID,ALL,reflection|dynamic_loading|ipc|entrypoint|callback|sdk_mediated|network|tls,50255,16725,33530,33.28
malware_evasion,MAMADROID,evasion_primitives,reflection|dynamic_loading,181,87,94,48.07
malware_evasion,MAMADROID,dispatch_and_icc,ipc,280,191,89,68.21
malware_evasion,MAMADROID,hidden_entrypoints,entrypoint|callback,9340,3379,5961,36.18
malware_evasion,MAMADROID,sdk_mediated,sdk_mediated,31895,9416,22479,29.52
malware_evasion,MAMADROID,network_and_tls,network|tls,8876,3743,5133,42.17
malware_evasion,MAMADROID,ALL,reflection|dynamic_loading|ipc|entrypoint|callback|sdk_mediated|network|tls,50255,16642,33613,33.12
malware_evasion,NATIDROID,evasion_primitives,reflection|dynamic_loading,181,161,20,88.95
malware_evasion,NATIDROID,dispatch_and_icc,ipc,280,195,85,69.64
malware_evasion,NATIDROID,hidden_entrypoints,entrypoint|callback,9340,4860,4480,52.03
malware_evasion,NATIDROID,sdk_mediated,sdk_mediated,31895,22568,9327,70.76
malware_evasion,NATIDROID,network_and_tls,network|tls,8876,3518,5358,39.63
malware_evasion,NATIDROID,ALL,reflection|dynamic_loading|ipc|entrypoint|callback|sdk_mediated|network|tls,50255,31040,19215,61.76
malware_evasion,GATOR,evasion_primitives,reflection|dynamic_loading,181,162,19,89.5
malware_evasion,GATOR,dispatch_and_icc,ipc,280,189,91,67.5
malware_evasion,GATOR,hidden_entrypoints,entrypoint|callback,9340,6489,2851,69.48
malware_evasion,GATOR,sdk_mediated,sdk_mediated,31895,29050,2845,91.08
malware_evasion,GATOR,network_and_tls,network|tls,8876,7484,1392,84.32
malware_evasion,GATOR,ALL,reflection|dynamic_loading|ipc|entrypoint|callback|sdk_mediated|network|tls,50255,43072,7183,85.71
