proxy,variant,tool,group,tags,dynamic_count,hit_count,missed_count,coverage_pct
privacy,security_all,ANDROGUARD,sources_identity,telephony|accounts,81,75,6,92.59
privacy,security_all,ANDROGUARD,sources_sensors,location|camera|microphone,102,90,12,88.24
privacy,security_all,ANDROGUARD,storage_ipc,content_provider|content_resolver|ipc,302,183,119,60.6
privacy,security_all,ANDROGUARD,web_and_exfil,webview|network|tls,7053,5096,1957,72.25
privacy,security_all,ANDROGUARD,crypto,crypto,128,92,36,71.88
privacy,security_all,ANDROGUARD,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,7666,5536,2130,72.21
privacy,security_all,FLOWDROID,sources_identity,telephony|accounts,81,9,72,11.11
privacy,security_all,FLOWDROID,sources_sensors,location|camera|microphone,102,45,57,44.12
privacy,security_all,FLOWDROID,storage_ipc,content_provider|content_resolver|ipc,302,192,110,63.58
privacy,security_all,FLOWDROID,web_and_exfil,webview|network|tls,7053,3002,4051,42.56
privacy,security_all,FLOWDROID,crypto,crypto,128,60,68,46.88
privacy,security_all,FLOWDROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,7666,3308,4358,43.15
privacy,security_all,MAMADROID,sources_identity,telephony|accounts,81,8,73,9.88
privacy,security_all,MAMADROID,sources_sensors,location|camera|microphone,102,45,57,44.12
privacy,security_all,MAMADROID,storage_ipc,content_provider|content_resolver|ipc,302,202,100,66.89
privacy,security_all,MAMADROID,web_and_exfil,webview|network|tls,7053,2959,4094,41.95
privacy,security_all,MAMADROID,crypto,crypto,128,59,69,46.09
privacy,security_all,MAMADROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,7666,3273,4393,42.7
privacy,security_all,NATIDROID,sources_identity,telephony|accounts,81,77,4,95.06
privacy,security_all,NATIDROID,sources_sensors,location|camera|microphone,102,99,3,97.06
privacy,security_all,NATIDROID,storage_ipc,content_provider|content_resolver|ipc,302,225,77,74.5
privacy,security_all,NATIDROID,web_and_exfil,webview|network|tls,7053,3410,3643,48.35
privacy,security_all,NATIDROID,crypto,crypto,128,107,21,83.59
privacy,security_all,NATIDROID,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,7666,3918,3748,51.11
privacy,security_all,GATOR,sources_identity,telephony|accounts,81,60,21,74.07
privacy,security_all,GATOR,sources_sensors,location|camera|microphone,102,97,5,95.1
privacy,security_all,GATOR,storage_ipc,content_provider|content_resolver|ipc,302,212,90,70.2
privacy,security_all,GATOR,web_and_exfil,webview|network|tls,7053,6387,666,90.56
privacy,security_all,GATOR,crypto,crypto,128,117,11,91.41
privacy,security_all,GATOR,ALL,telephony|accounts|location|camera|microphone|content_provider|content_resolver|ipc|webview|network|tls|crypto,7666,6873,793,89.66
malware_evasion,security_all,ANDROGUARD,evasion_primitives,reflection|dynamic_loading,171,139,32,81.29
malware_evasion,security_all,ANDROGUARD,dispatch_and_icc,ipc,262,168,94,64.12
malware_evasion,security_all,ANDROGUARD,hidden_entrypoints,entrypoint|callback,7053,5839,1214,82.79
malware_evasion,security_all,ANDROGUARD,sdk_mediated,sdk_mediated,25674,18281,7393,71.2
