proxy,tool,tag,dynamic_count,hit_count,missed_count,coverage_pct
privacy,ANDROGUARD,telephony,76,73,3,96.05
privacy,ANDROGUARD,accounts,10,7,3,70.0
privacy,ANDROGUARD,location,57,52,5,91.23
privacy,ANDROGUARD,camera,68,56,12,82.35
privacy,ANDROGUARD,microphone,2,0,2,0.0
privacy,ANDROGUARD,content_provider,23,8,15,34.78
privacy,ANDROGUARD,content_resolver,19,7,12,36.84
privacy,ANDROGUARD,ipc,280,171,109,61.07
privacy,ANDROGUARD,webview,375,232,143,61.87
privacy,ANDROGUARD,network,8832,6422,2410,72.71
privacy,ANDROGUARD,tls,44,39,5,88.64
privacy,ANDROGUARD,crypto,157,111,46,70.7
privacy,FLOWDROID,telephony,76,6,70,7.89
privacy,FLOWDROID,accounts,10,3,7,30.0
privacy,FLOWDROID,location,57,37,20,64.91
privacy,FLOWDROID,camera,68,10,58,14.71
privacy,FLOWDROID,microphone,2,2,0,100.0
privacy,FLOWDROID,content_provider,23,23,0,100.0
privacy,FLOWDROID,content_resolver,19,0,19,0.0
privacy,FLOWDROID,ipc,280,180,100,64.29
privacy,FLOWDROID,webview,375,144,231,38.4
privacy,FLOWDROID,network,8832,3774,5058,42.73
privacy,FLOWDROID,tls,44,10,34,22.73
privacy,FLOWDROID,crypto,157,71,86,45.22
privacy,MAMADROID,telephony,76,5,71,6.58
privacy,MAMADROID,accounts,10,3,7,30.0
privacy,MAMADROID,location,57,37,20,64.91
privacy,MAMADROID,camera,68,10,58,14.71
privacy,MAMADROID,microphone,2,2,0,100.0
privacy,MAMADROID,content_provider,23,23,0,100.0
privacy,MAMADROID,content_resolver,19,0,19,0.0
privacy,MAMADROID,ipc,280,191,89,68.21
privacy,MAMADROID,webview,375,144,231,38.4
privacy,MAMADROID,network,8832,3733,5099,42.27
privacy,MAMADROID,tls,44,10,34,22.73
privacy,MAMADROID,crypto,157,70,87,44.59
privacy,NATIDROID,telephony,76,72,4,94.74
privacy,NATIDROID,accounts,10,8,2,80.0
privacy,NATIDROID,location,57,55,2,96.49
privacy,NATIDROID,camera,68,59,9,86.76
privacy,NATIDROID,microphone,2,2,0,100.0
privacy,NATIDROID,content_provider,23,23,0,100.0
privacy,NATIDROID,content_resolver,19,19,0,100.0
privacy,NATIDROID,ipc,280,195,85,69.64
privacy,NATIDROID,webview,375,288,87,76.8
privacy,NATIDROID,network,8832,3497,5335,39.59
privacy,NATIDROID,tls,44,21,23,47.73
privacy,NATIDROID,crypto,157,127,30,80.89
privacy,GATOR,telephony,76,57,19,75.0
privacy,GATOR,accounts,10,7,3,70.0
privacy,GATOR,location,57,55,2,96.49
privacy,GATOR,camera,68,58,10,85.29
privacy,GATOR,microphone,2,2,0,100.0
privacy,GATOR,content_provider,23,23,0,100.0
privacy,GATOR,content_resolver,19,13,6,68.42
privacy,GATOR,ipc,280,189,91,67.5
privacy,GATOR,webview,375,320,55,85.33
privacy,GATOR,network,8832,7461,1371,84.48
privacy,GATOR,tls,44,23,21,52.27
privacy,GATOR,crypto,157,141,16,89.81
malware_evasion,ANDROGUARD,reflection,172,138,34,80.23
malware_evasion,ANDROGUARD,dynamic_loading,9,6,3,66.67
malware_evasion,ANDROGUARD,ipc,280,171,109,61.07
malware_evasion,ANDROGUARD,entrypoint,9033,7590,1443,84.03
malware_evasion,ANDROGUARD,callback,3279,2425,854,73.96
malware_evasion,ANDROGUARD,sdk_mediated,31895,22616,9279,70.91
malware_evasion,ANDROGUARD,network,8832,6422,2410,72.71
malware_evasion,ANDROGUARD,tls,44,39,5,88.64
malware_evasion,FLOWDROID,reflection,172,84,88,48.84
malware_evasion,FLOWDROID,dynamic_loading,9,6,3,66.67
malware_evasion,FLOWDROID,ipc,280,180,100,64.29
malware_evasion,FLOWDROID,entrypoint,9033,3316,5717,36.71
malware_evasion,FLOWDROID,callback,3279,1757,1522,53.58
malware_evasion,FLOWDROID,sdk_mediated,31895,9455,22440,29.64
malware_evasion,FLOWDROID,network,8832,3774,5058,42.73
malware_evasion,FLOWDROID,tls,44,10,34,22.73
malware_evasion,MAMADROID,reflection,172,81,91,47.09
malware_evasion,MAMADROID,dynamic_loading,9,6,3,66.67
malware_evasion,MAMADROID,ipc,280,191,89,68.21
malware_evasion,MAMADROID,entrypoint,9033,3312,5721,36.67
malware_evasion,MAMADROID,callback,3279,1775,1504,54.13
malware_evasion,MAMADROID,sdk_mediated,31895,9416,22479,29.52
malware_evasion,MAMADROID,network,8832,3733,5099,42.27
malware_evasion,MAMADROID,tls,44,10,34,22.73
malware_evasion,NATIDROID,reflection,172,152,20,88.37
malware_evasion,NATIDROID,dynamic_loading,9,9,0,100.0
malware_evasion,NATIDROID,ipc,280,195,85,69.64
malware_evasion,NATIDROID,entrypoint,9033,4625,4408,51.2
malware_evasion,NATIDROID,callback,3279,1618,1661,49.34
malware_evasion,NATIDROID,sdk_mediated,31895,22568,9327,70.76
malware_evasion,NATIDROID,network,8832,3497,5335,39.59
malware_evasion,NATIDROID,tls,44,21,23,47.73
malware_evasion,GATOR,reflection,172,153,19,88.95
malware_evasion,GATOR,dynamic_loading,9,9,0,100.0
malware_evasion,GATOR,ipc,280,189,91,67.5
malware_evasion,GATOR,entrypoint,9033,6267,2766,69.38
malware_evasion,GATOR,callback,3279,2203,1076,67.19
malware_evasion,GATOR,sdk_mediated,31895,29050,2845,91.08
malware_evasion,GATOR,network,8832,7461,1371,84.48
malware_evasion,GATOR,tls,44,23,21,52.27
