tool,variant,dynamic_count,static_count,intersection_count,full_signature_coverage_pct,dynamic_name_count,static_name_count,name_intersection_count,name_only_coverage_pct,dynamic_class_method_count,static_class_method_count,class_method_intersection_count,class_method_coverage_pct
ANDROGUARD,entry_all,236268,6221735,186990,79.14,10473,404597,9812,93.69,226212,5387725,213728,94.48
ANDROGUARD,entry_security_all,14368,170815,10996,76.53,1422,8643,1321,92.9,13308,157609,12586,94.57
ANDROGUARD,entry_security_nonlib,3780,81305,3150,83.33,141,2360,140,99.29,3740,79317,3502,93.64
ANDROGUARD,entry_security_nonobf_strict,7307,170815,5235,71.64,1250,8643,1156,92.48,6811,157609,6357,93.33
FLOWDROID,entry_all,236268,2523,71,0.03,10473,572,246,2.35,226212,2475,99,0.04
FLOWDROID,entry_security_all,14368,163,9,0.06,1422,37,21,1.48,13308,162,12,0.09
FLOWDROID,entry_security_nonlib,3780,64,3,0.08,141,4,4,2.84,3740,64,3,0.08
FLOWDROID,entry_security_nonobf_strict,7307,163,5,0.07,1250,37,19,1.52,6811,162,7,0.1
MAMADROID,entry_all,236268,2663,67,0.03,10473,602,243,2.32,226212,2614,95,0.04
MAMADROID,entry_security_all,14368,163,9,0.06,1422,36,21,1.48,13308,162,12,0.09
MAMADROID,entry_security_nonlib,3780,67,3,0.08,141,4,4,2.84,3740,67,3,0.08
MAMADROID,entry_security_nonobf_strict,7307,163,5,0.07,1250,36,19,1.52,6811,162,7,0.1
NATIDROID,entry_all,236268,594936,17775,7.52,10473,74214,5351,51.09,226212,513321,20327,8.99
NATIDROID,entry_security_all,14368,31524,3308,23.02,1422,5699,791,55.63,13308,28887,3169,23.81
NATIDROID,entry_security_nonlib,3780,8870,974,25.77,141,280,81,57.45,3740,8702,973,26.02
NATIDROID,entry_security_nonobf_strict,7307,31524,1951,26.7,1250,5699,721,57.68,6811,28887,1847,27.12
GATOR,entry_all,236268,931409,16790,7.11,10473,186044,4573,43.66,226212,744369,18060,7.98
GATOR,entry_security_all,14368,35634,3568,24.83,1422,3955,716,50.35,13308,32283,3410,25.62
GATOR,entry_security_nonlib,3780,14036,1332,35.24,141,361,79,56.03,3740,13792,1330,35.56
GATOR,entry_security_nonobf_strict,7307,35634,2069,28.32,1250,3955,634,50.72,6811,32283,1946,28.57
