tool,variant,dynamic_count,static_total_count,intersection_count,full_signature_coverage_pct,dynamic_name_count,static_hit_name_count,name_intersection_count,name_only_coverage_pct,dynamic_class_method_count,static_hit_class_method_count,class_method_intersection_count,class_method_coverage_pct
ANDROGUARD,overall,1178176,18203616,847606,71.94,74252,73629,73629,99.16,947454,941287,941287,99.35
ANDROGUARD,security_all,51125,18203616,37574,73.49,6648,6457,6457,97.13,40969,40597,40597,99.09
ANDROGUARD,security_nonlib,4825,18203616,4187,86.78,215,215,215,100.0,4722,4650,4650,98.48
ANDROGUARD,security_nonobf_strict,22000,18203616,15979,72.63,6050,5869,5869,97.01,19436,19122,19122,98.38
ANDROGUARD,security_nonlib_nonobf_strict,2702,18203616,2276,84.23,194,194,194,100.0,2627,2564,2564,97.6
FLOWDROID,overall,1178176,2108455,364162,30.91,74252,36100,36100,48.62,947454,362273,362273,38.24
FLOWDROID,security_all,51125,2108455,17111,33.47,6648,3951,3951,59.43,40969,14584,14584,35.6
FLOWDROID,security_nonlib,4825,2108455,2186,45.31,215,153,153,71.16,4722,2168,2168,45.91
FLOWDROID,security_nonobf_strict,22000,2108455,7412,33.69,6050,3665,3665,60.58,19436,6875,6875,35.37
FLOWDROID,security_nonlib_nonobf_strict,2702,2108455,1331,49.26,194,141,141,72.68,2627,1323,1323,50.36
MAMADROID,overall,1178176,2108913,359142,30.48,74252,35659,35659,48.02,947454,359096,359096,37.9
MAMADROID,security_all,51125,2108913,17033,33.32,6648,3928,3928,59.09,40969,14490,14490,35.37
MAMADROID,security_nonlib,4825,2108913,2205,45.7,215,158,158,73.49,4722,2186,2186,46.29
MAMADROID,security_nonobf_strict,22000,2108913,7346,33.39,6050,3643,3643,60.21,19436,6804,6804,35.01
MAMADROID,security_nonlib_nonobf_strict,2702,2108913,1335,49.41,194,146,146,75.26,2627,1326,1326,50.48
NATIDROID,overall,1178176,5943863,609438,51.73,74252,51981,51981,70.01,947454,543430,543430,57.36
NATIDROID,security_all,51125,5943863,31757,62.12,6648,6238,6238,93.83,40969,27027,27027,65.97
NATIDROID,security_nonlib,4825,5943863,1996,41.37,215,150,150,69.77,4722,1978,1978,41.89
NATIDROID,security_nonobf_strict,22000,5943863,15072,68.51,6050,5749,5749,95.02,19436,13582,13582,69.88
NATIDROID,security_nonlib_nonobf_strict,2702,5943863,914,33.83,194,135,135,69.59,2627,900,900,34.26
GATOR,overall,1178176,8986331,840450,71.33,74252,56414,56414,75.98,947454,705871,705871,74.5
GATOR,security_all,51125,8986331,43799,85.67,6648,6482,6482,97.5,40969,35263,35263,86.07
GATOR,security_nonlib,4825,8986331,3132,64.91,215,180,180,83.72,4722,3088,3088,65.4
GATOR,security_nonobf_strict,22000,8986331,18491,84.05,6050,5924,5924,97.92,19436,16398,16398,84.37
GATOR,security_nonlib_nonobf_strict,2702,8986331,1630,60.33,194,163,163,84.02,2627,1607,1607,61.17
