tool,tag,dynamic_count,static_total_count,intersection_count,full_signature_coverage_pct
ANDROGUARD,accounts,10,18203616,7,70.0
ANDROGUARD,callback,3279,18203616,2425,73.96
ANDROGUARD,camera,68,18203616,56,82.35
ANDROGUARD,component,193,18203616,156,80.83
ANDROGUARD,content_provider,23,18203616,8,34.78
ANDROGUARD,content_resolver,19,18203616,7,36.84
ANDROGUARD,crypto,157,18203616,111,70.7
ANDROGUARD,dynamic_loading,9,18203616,6,66.67
ANDROGUARD,entrypoint,9033,18203616,7590,84.03
ANDROGUARD,ipc,280,18203616,171,61.07
ANDROGUARD,location,57,18203616,52,91.23
ANDROGUARD,microphone,2,18203616,0,0.0
ANDROGUARD,network,8832,18203616,6422,72.71
ANDROGUARD,reflection,172,18203616,138,80.23
ANDROGUARD,sdk_mediated,31895,18203616,22616,70.91
ANDROGUARD,sensitive_api,827,18203616,398,48.13
ANDROGUARD,telephony,76,18203616,73,96.05
ANDROGUARD,tls,44,18203616,39,88.64
ANDROGUARD,webview,375,18203616,232,61.87
FLOWDROID,accounts,10,2108455,3,30.0
FLOWDROID,callback,3279,2108455,1757,53.58
FLOWDROID,camera,68,2108455,10,14.71
FLOWDROID,component,193,2108455,151,78.24
FLOWDROID,content_provider,23,2108455,23,100.0
FLOWDROID,content_resolver,19,2108455,0,0.0
FLOWDROID,crypto,157,2108455,71,45.22
FLOWDROID,dynamic_loading,9,2108455,6,66.67
FLOWDROID,entrypoint,9033,2108455,3316,36.71
FLOWDROID,ipc,280,2108455,180,64.29
FLOWDROID,location,57,2108455,37,64.91
FLOWDROID,microphone,2,2108455,2,100.0
FLOWDROID,network,8832,2108455,3774,42.73
FLOWDROID,reflection,172,2108455,84,48.84
FLOWDROID,sdk_mediated,31895,2108455,9455,29.64
FLOWDROID,sensitive_api,827,2108455,233,28.17
FLOWDROID,telephony,76,2108455,6,7.89
FLOWDROID,tls,44,2108455,10,22.73
FLOWDROID,webview,375,2108455,144,38.4
MAMADROID,accounts,10,2108913,3,30.0
MAMADROID,callback,3279,2108913,1775,54.13
MAMADROID,camera,68,2108913,10,14.71
MAMADROID,component,193,2108913,152,78.76
MAMADROID,content_provider,23,2108913,23,100.0
MAMADROID,content_resolver,19,2108913,0,0.0
MAMADROID,crypto,157,2108913,70,44.59
MAMADROID,dynamic_loading,9,2108913,6,66.67
MAMADROID,entrypoint,9033,2108913,3312,36.67
MAMADROID,ipc,280,2108913,191,68.21
MAMADROID,location,57,2108913,37,64.91
MAMADROID,microphone,2,2108913,2,100.0
MAMADROID,network,8832,2108913,3733,42.27
MAMADROID,reflection,172,2108913,81,47.09
MAMADROID,sdk_mediated,31895,2108913,9416,29.52
MAMADROID,sensitive_api,827,2108913,242,29.26
MAMADROID,telephony,76,2108913,5,6.58
MAMADROID,tls,44,2108913,10,22.73
MAMADROID,webview,375,2108913,144,38.4
NATIDROID,accounts,10,5943863,8,80.0
NATIDROID,callback,3279,5943863,1618,49.34
NATIDROID,camera,68,5943863,59,86.76
NATIDROID,component,193,5943863,188,97.41
NATIDROID,content_provider,23,5943863,23,100.0
NATIDROID,content_resolver,19,5943863,19,100.0
NATIDROID,crypto,157,5943863,127,80.89
NATIDROID,dynamic_loading,9,5943863,9,100.0
NATIDROID,entrypoint,9033,5943863,4625,51.2
NATIDROID,ipc,280,5943863,195,69.64
NATIDROID,location,57,5943863,55,96.49
NATIDROID,microphone,2,5943863,2,100.0
NATIDROID,network,8832,5943863,3497,39.59
NATIDROID,reflection,172,5943863,152,88.37
NATIDROID,sdk_mediated,31895,5943863,22568,70.76
NATIDROID,sensitive_api,827,5943863,475,57.44
NATIDROID,telephony,76,5943863,72,94.74
NATIDROID,tls,44,5943863,21,47.73
NATIDROID,webview,375,5943863,288,76.8
GATOR,accounts,10,8986331,7,70.0
GATOR,callback,3279,8986331,2203,67.19
GATOR,camera,68,8986331,58,85.29
GATOR,component,193,8986331,181,93.78
GATOR,content_provider,23,8986331,23,100.0
GATOR,content_resolver,19,8986331,13,68.42
GATOR,crypto,157,8986331,141,89.81
GATOR,dynamic_loading,9,8986331,9,100.0
GATOR,entrypoint,9033,8986331,6267,69.38
GATOR,ipc,280,8986331,189,67.5
GATOR,location,57,8986331,55,96.49
GATOR,microphone,2,8986331,2,100.0
GATOR,network,8832,8986331,7461,84.48
GATOR,reflection,172,8986331,153,88.95
GATOR,sdk_mediated,31895,8986331,29050,91.08
GATOR,sensitive_api,827,8986331,507,61.31
GATOR,telephony,76,8986331,57,75.0
GATOR,tls,44,8986331,23,52.27
GATOR,webview,375,8986331,320,85.33
